言葉	読み方	起源
娘	むすめ	産す女（むす|め）
虚しい	むなしい	身無し（む|なし）
眼鏡	めがね	目金（め|がね）
用いる	もちいる	持ち率る（もち|ゐる）
弄ぶ	もてあそぶ	持て遊ぶ（もて|あそぶ）
館	やかた	屋形（や|かた）
櫓	やぐら	矢倉（や|ぐら）
社	やしろ	屋代（や|しろ）
柳	やなぎ	矢篦木（や|な|ぎ）
藪	やぶ	弥生（や|ぶ）
縁	よすが	寄す処（よす|が）
蘇る	よみがえる	黄泉帰る（よみ|がへる）
稲妻	いなづま	稲の夫（いねの|つま）
