叉	サイ	67%
及	キュウ	100%
取	シュ	60%
受	ジュ	100%
叟	ソウ	100%
叟	シュウ	83%
睿	エイ	50%
只	シ	100%
丩	キュウ	50%
史	シ	100%
各	カク	50%
同	ドウ	71%
名	メイ	100%
后	コウ	100%
向	コウ	50%
吝	リン	100%
否	ヒ	100%
含	ガン	100%
孔	コウ	100%
吾	ゴ	100%
呈	テイ	75%
呉	ゴ	83%
玄	ゲン	64%
和	ワ	100%
永	エイ	50%
咢	ガク	100%
咨	シ	100%
次	シ	88%
咸	カン	63%
咼	カ	88%
因	イン	67%
員	イン	60%
弄	ロウ	100%
哥	カ	100%
孝	コウ	67%
希	キ	80%
布	フ	50%
唐	トウ	100%
戻	レイ	100%
念	ネン	80%
於	オ	50%
於	ヨ	50%
垂	スイ	67%
帝	テイ	86%
秋	シュウ	100%
客	カク	50%
善	ゼン	100%
奐	カン	100%
胃	イ	60%
單	タン	56%
回	カイ	71%
眞	シン	71%
烏	ウ	100%
烏	オ	100%
耆	シ	67%
差	サ	100%
蚩	シ	100%
連	レン	100%
族	ゾク	100%
旨	シ	60%
虚	キョ	75%
麻	マ	50%
華	カ	75%
華	ケ	50%
属	ショク	100%
禹	ウ	50%
朝	チョウ	67%
觜	シ	100%
無	ブ	100%
尊	ソン	67%
禁	キン	100%
筮	ゼイ	100%
賁	フン	100%
頓	トン	100%
新	シン	50%
寧	ネイ	100%
蒿	コウ	100%
赫	カク	100%
燕	エン	100%
郷	キョウ	100%
爵	シャク	100%
轉	テン	100%
聶	ショウ	67%
藝	ゲイ	100%
屬	ショク	100%
齧	ゲツ	100%
齧	ケツ	100%
囚	シュウ	50%
困	コン	100%
巻	ケン	100%
園	エン	100%
袁	エン	100%
坐	ザ	100%
坐	サ	50%
成	セイ	80%
成	ジョウ	60%
阜	フ	100%
堂	ドウ	50%
堅	ケン	50%
朋	ホウ	100%
陏	ダ	50%
昜	ヨウ	55%
界	カイ	100%
屏	ヘイ	100%
朔	サク	80%
時	ジ	100%
真	シン	50%
斬	ザン	88%
