言葉	読み方	起源
筆	ふで	文手（ふみ|て）
氷	こおり	凍り（こほり）
表	おもて	面手（おも|て）
描く	えがく	絵掻く（ゑ|がく）
夫	おっと	男人（を|ひと）
赴く	おもむく	面向く（おも|むく）
武士	もののふ	物の部
楓	かえで	蛙手（かえるて）
憤る	いきどおる	意気通る
偏	ひとえ	一重（ひと|へ）
偏に	ひとえに	一重に（ひと|へ|に）
偏る	かたよる	片寄る
保つ	たもつ	手持つ（た|もつ）、手持つ（た|もつ）*
補う	おぎなう	置き縫ふ（おき|ぬふ）
奉る	たてまつる	立て奉る（たて|まつる）
芳しい	かぐわしい	香細し（か|ぐはし）
芳しい	かんばしい	香細し（か|ぐはし）
傍ら	かたわら	片端ら（かた|はら）
謀	はかりごと	謀り事（はかり|ごと）
妹	いもうと	妹人（いも|ひと）、妹人（いもひと）
娘	むすめ	産す女（むす|め）
面	おもて	面方（おも|て）
柳	やなぎ	矢篦木（や|な|ぎ）、矢篦木（や|の|き）
幼い	おさない	長無し（をさ|なし）
用いる	もちいる	持ち率る（もち|ゐる）
要	かなめ	金目
裸	はだか	肌赤（はだ|あか）
裸足	はだし	肌足（はだ|あし）
頼る	たよる	手寄る（た|よる）、手寄る（た|よる）*
雷	かみなり	神鳴り（かみ|なり）
卵	たまご	玉子（たま|ご）
嵐	あらし	荒風（あら|し）
理	ことわり	事割り（こと|わり）
率いる	ひきいる	引き率る（ひき|ゐる）、引き居る（ひき|ゐる）
慮る	おもんばかる	思ひ量る（おもひ|はかる）
慮る	おもんぱかる	思ひ量る（おもひ|はかる）
林	はやし	生やし（はやし）
暦	こよみ	日読み（かよみ）
簾	すだれ	簀垂れ（す|だれ）
櫓	やぐら	矢倉（や|ぐら）
弄ぶ	もてあそぶ	持て遊ぶ（もて|あそぶ）
狼	おおかみ	大神
儚い	はかない	計無し（はか|なし）
嘴	くちばし	口端（くち|ばし）
囮	おとり	招鳥（をき|とり）、招き鳥（をき|とり）
塒	ねぐら	寝座
娶る	めとる	女取る・妻取る
擲つ	なげうつ	投げ打つ（なげ|うつ）
檜	ひのき	檜の木（ひ|の|き）
栞	しおり	枝折り
漱ぐ	くちすすぐ	口濯く（くち|すすく）、口濯ぐ（くち|すすぐ）
燧石	ひうちいし	火打ち石
睫	まつげ	目つ毛（ま|つ|げ）、目つ毛（ま|つ|げ）*
瞼	まぶた	目蓋（ま|ぶた）、目蓋（ま|ぶた）*
磔	はりつけ	張り付け（はり|つけ）
礫	こいし	小石
竈	かまど	竈処（かま|ど）
筍	たけのこ	竹の子（たけ|の|こ）
絆	きずな	木綱（き|づな）
繙く	ひもとく	紐解く（ひも|とく）
腥い	なまぐさい	生臭い
膠	にかわ	煮皮（に|かは）
藪	やぶ	弥生（や|ぶ）
蝗	いなご	稲子（いな|ご）、稲子（いな|ご）*
袂	たもと	手本（た|もと）、手本（た|もと）*
襷	たすき	手繦（た|すき）
諱	いみな	忌み名（いみ|な）
諡	おくりな	贈り名（おくり|な）
躓く	つまずく	爪付く（つま|づく）、爪付く（つま|づく）*、爪突く（つまづく）
躾	しつけ	仕付け（し|つけ）
軛	くびき	頸木
鏃	やじり	矢尻
閨	ねや	寝屋
靨	えくぼ	笑窪（え|くぼ）
頷く	うなずく	項突く
鸛	こうのとり	鸛の鳥
鹹い	しおからい	塩辛し（しほ|からし）
